"","term","estimate","std.error","statistic","df","p.value","conf.low","conf.high","true_vals","cov","bias","width","method","percentage"
"35","x:z",3.07475803068851,1.08860726807648,2.91675255163182,147.387506036091,0.0401675052963436,0.846304413492066,5.30321164788496,3.04617174488686,1,0.0285862858016519,4.45690723439289,"G4","20"
"36","(Intercept)",0.484524435110924,5.01523431770704,0.14336061666386,181.021292223272,0.351857646853828,-9.67401593953156,10.6430648097534,-0.11438296016576,1,0.598907395276684,20.317080749285,"G4","60"
"37","x",2.98063707455433,1.52253513699604,1.95009504794805,129.66070715909,0.227613316926737,-0.122417895822336,6.083692044931,3.07137064502332,1,-0.0907335704689829,6.20610994075334,"G4","60"
"38","z",0.143292326838044,3.66281179403843,-0.0297660451366089,95.8741792345809,0.50296159346288,-7.63107148823291,7.917656141909,1.01667552694845,1,-0.873383200110408,15.5487276301419,"G4","60"
"39","I(z^2)",0.134771276838501,1.05863809937673,0.0799340405219585,102.247226280133,0.491845419729426,-2.09693717268504,2.36647972636204,0.847676846995064,1,-0.712905570156563,4.46341689904709,"G4","60"
"40","x:z",3.48799739932919,1.21978948071555,3.06797066271743,77.0588971297347,0.0614780889090401,0.915573620850233,6.06042117780814,3.04617174488686,0.9,0.441825654442325,5.1448475569579,"G4","60"
"41","(Intercept)",1.04968881473929,4.33468574717248,0.251066244754949,662.974096960905,0.483652777777474,-7.46462787275758,9.56400550223615,-0.11438296016576,1,1.16407177490505,17.0286333749937,"G1_G2_together","20"
"42","x",2.73068832028239,1.29116577678609,2.11434123303842,639.769217464268,0.0812830777463037,0.194200272796378,5.2671763677684,3.07137064502332,1,-0.340682324740928,5.07297609497202,"G1_G2_together","20"
"43","z",1.26306043862285,2.763936226189,0.456527943211142,460.551863698332,0.498094533923418,-4.17859938757541,6.70472026482112,1.01667552694845,1,0.246384911674402,10.8833196523965,"G1_G2_together","20"
"44","I(z^2)",0.663710146709497,0.825681797537145,0.822708425716609,418.754250957818,0.432995500675534,-0.965687041462947,2.29310733488194,0.847676846995064,1,-0.183966700285567,3.25879437634489,"G1_G2_together","20"
"45","x:z",3.12748942262531,0.938615751947514,3.33265510929186,487.423057500364,0.0336595694020309,1.2803291264257,4.97464971882492,3.04617174488686,1,0.0813176777384507,3.69432059239922,"G1_G2_together","20"
"46","(Intercept)",1.82843236915173,5.14787754167202,0.307502267741411,80.7194733045979,0.389184427978505,-8.6955225961885,12.352387334492,-0.11438296016576,1,1.94281532931749,21.0479099306805,"G1_G2_together","60"
"47","x",2.39148705768672,1.55489635850475,1.59937927958293,57.6509938149474,0.330250236136742,-0.799052487182313,5.58202660255575,3.07137064502332,1,-0.679883587336598,6.38107908973806,"G1_G2_together","60"
"48","z",-1.54317805561098,3.59277681724898,-0.498301417932423,109.566187006876,0.427103154446299,-9.16912685155359,6.08277074033163,1.01667552694845,0.8,-2.55985358255943,15.2518975918852,"G1_G2_together","60"
"49","I(z^2)",0.110284998956726,1.12169270483654,0.0740779859296662,28.1265653095049,0.404052864337703,-2.31087150816038,2.53144150607384,0.847676846995064,0.8,-0.737391848038338,4.84231301423422,"G1_G2_together","60"
"50","x:z",4.11993469081572,1.26225036361957,3.43328292606972,35.0331598867616,0.0389786679841634,1.41577815368169,6.82409122794976,3.04617174488686,0.8,1.07376294592886,5.40831307426808,"G1_G2_together","60"
"51","(Intercept)",0.574745465009632,4.62424383989388,0.127239400283732,378.120859056148,0.551244196870534,-8.55404908831116,9.70354001833042,-0.11438296016576,1,0.689128425175392,18.2575891066416,"G1_G3_together","20"
"52","x",2.98013572236283,1.38100882632555,2.17171345090653,367.177092941887,0.0750568948858361,0.250044855284393,5.71022658944126,3.07137064502332,1,-0.0912349226604882,5.46018173415687,"G1_G3_together","20"
"53","z",2.40668650160693,3.0987891102979,0.748490122683575,260.029114929452,0.489430756271036,-3.81295339054575,8.62632639375961,1.01667552694845,0.9,1.39001097465848,12.4392797843054,"G1_G3_together","20"
"54","I(z^2)",0.366653953878366,0.897915785651064,0.401666590560995,160.390260138418,0.420017366923156,-1.42780546710306,2.16111337485979,0.847676846995064,1,-0.481022893116698,3.58891884196284,"G1_G3_together","20"
"55","x:z",2.85218553026326,1.04246044338755,2.77309798215423,225.147517758384,0.0690043312950445,0.77003277783415,4.93433828269236,3.04617174488686,1,-0.193986214623605,4.16430550485821,"G1_G3_together","20"
"56","(Intercept)",0.528409537192212,6.71141433226584,0.177460412071186,24.5012053494504,0.518862572004622,-14.1104320393437,15.1672511137281,-0.11438296016576,1,0.642792497357973,29.2776831530718,"G1_G3_together","60"
"57","x",3.17139606130508,2.09389736994625,1.47782930380671,25.9941903835816,0.247443106709576,-1.48044710228085,7.82323922489101,3.07137064502332,1,0.100025416281763,9.30368632717186,"G1_G3_together","60"
"58","z",2.70249199461783,4.08242542086811,0.650593092472476,21.6545859396566,0.401420278975057,-6.0314805060579,11.4364644952936,1.01667552694845,1,1.68581646766938,17.4679450013515,"G1_G3_together","60"
"59","I(z^2)",-0.312284551949146,1.31102785425665,-0.148035068802804,33.1025680456506,0.59465286918653,-3.22609127410534,2.60152217020704,0.847676846995064,1,-1.15996139894421,5.82761344431238,"G1_G3_together","60"
"60","x:z",2.90478045623959,1.42525535335559,2.09117531728705,17.2749753901445,0.11377379870969,-0.172498389967973,5.98205930244715,3.04617174488686,0.9,-0.14139128864727,6.15455769241513,"G1_G3_together","60"
"61","(Intercept)",0.189942637119905,4.63453420573036,0.0611266534143827,313.492747986782,0.592860344782432,-8.98642768195045,9.36631295619026,-0.11438296016576,1,0.304325597285666,18.3527406381407,"all_together","20"
"62","x",3.09701328041747,1.38459767904097,2.22846287614512,269.482878290598,0.0627759350142129,0.353463517356749,5.84056304347819,3.07137064502332,1,0.0256426353941541,5.48709952612144,"all_together","20"
"63","z",1.41875122665406,3.24284942994194,0.423242594781713,132.366578985997,0.594367010320217,-5.18627145538604,8.02377390869416,1.01667552694845,1,0.402075699705605,13.2100453640802,"all_together","20"
"64","I(z^2)",0.338117283620536,0.966364030034733,0.364441972377083,168.817195077963,0.605400018189696,-1.65405858470588,2.33029315194695,0.847676846995064,1,-0.509559563374528,3.98435173665283,"all_together","20"
"65","x:z",3.0891977044626,1.10570685237707,2.84344887779722,148.982380697632,0.0435129500580626,0.83083312358012,5.34756228534508,3.04617174488686,1,0.0430259595757377,4.51672916176495,"all_together","20"
"66","(Intercept)",0.125291019764591,5.31524471757137,-0.08626843498767,99.643023300465,0.383790325674712,-10.7882033453144,11.0387853848436,-0.11438296016576,1,0.239673979930351,21.826988730158,"all_together","60"
"67","x",3.15146244531839,1.63405841922817,2.07492759513113,59.0190422665129,0.218186816106758,-0.237783833563571,6.54070872420034,3.07137064502332,0.8,0.0800918002950697,6.77849255776391,"all_together","60"
"68","z",0.0940146485340062,3.78545165873919,0.0889185480601511,102.650551117303,0.535322720080635,-7.94373451047361,8.13176380754162,1.01667552694845,1,-0.922660878414446,16.0754983180152,"all_together","60"
"69","I(z^2)",-0.0161223586229715,1.07085304474095,0.00955753350817645,31.3425840382631,0.461538748196186,-2.2676778698507,2.23543315260476,0.847676846995064,0.9,-0.863799205618035,4.50311102245546,"all_together","60"
"70","x:z",3.46985921189416,1.2312342308683,2.81698250780641,60.4713207800025,0.0475688284121813,0.885391737968144,6.05432668582018,3.04617174488686,0.9,0.423687467007301,5.16893494785204,"all_together","60"
